,clusters-labels,full-names,gender,global-frequency,distribution_rank,concentration_rank
Tremont ,"[3, 4, 1, 4, 3, 3, 1, 3, 3]","['Tremont Place,', 'Tremont Place,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,']",male,5,3,5
Washington ,"[3, 4, 0, 3, 0, 3, 1, 0, 1, 1, 2, 3, 1, 3]","['Washington Place,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,']",male,6,5,5
Harvard ,"[1, 4, 0, 3, 0, 3, 3, 0, 3, 3, 2]","['Harvard Avenue,', 'Harvard Avenue,', 'Harvard Avenue,', 'Harvard Place,', 'Harvard Place,', 'Harvard Place,', 'Harvard Square,', 'Harvard Street,', 'Harvard Street,', 'Harvard Street,', 'Harvard Street,']",male,10,5,5
Congress ,"[3, 3, 3, 3]","['Congress Street,', 'Congress Street,', 'Congress Street,', 'Congress Street,']",male,1,1,4
Columbus ,"[1, 3, 1, 1, 1]","['Columbus Avenue,', 'Columbus Avenue,', 'Columbus Avenue,', 'Columbus Avenue,', 'Columbus Square,']",male,2,2,4
Dorchester ,"[2, 2, 2, 3, 2, 3]","['Dorchester Avenue,', 'Dorchester Avenue,', 'Dorchester Avenue,', 'Dorchester Avenue,', 'Dorchester Square,', 'Dorchester Street,']",male,3,2,4
Hanover ,"[3, 3, 3, 3]","['Hanover Avenue,', 'Hanover Place,', 'Hanover Street,', 'Hanover Street,']",male,3,1,4
Webster ,"[3, 3, 3, 0, 0, 0, 3]","['Webster Avenue,', 'Webster Place,', 'Webster Place,', 'Webster Square,', 'Webster Street,', 'Webster Street,', 'Webster Street,']",male,8,2,4
Chestnut ,"[1, 1, 4, 0, 1, 0, 1, 3, 3]","['Chestnut Avenue,', 'Chestnut Place,', 'Chestnut Place,', 'Chestnut Road,', 'Chestnut Square,', 'Chestnut Street,', 'Chestnut Street,', 'Chestnut Street,', 'Chestnut Street,']",male,9,4,4
Warren ,"[0, 3, 3, 1, 1, 3, 1, 1, 4, 3]","['Warren Avenue,', 'Warren Avenue,', 'Warren Avenue,', 'Warren Place,', 'Warren Square,', 'Warren Square,', 'Warren Street,', 'Warren Street,', 'Warren Street,', 'Warren Street,']",male,10,4,4
Ruggles ,"[1, 1, 1]","['Ruggles Street,', 'Ruggles Street,', 'Ruggles Street,']",male,1,1,3
Amory ,"[1, 1, 1]","['Amory Avenue,', 'Amory Street,', 'Amory Street,']",male,2,1,3
Navarre ,"[0, 0, 0]","['Navarre Place,', 'Navarre Street,', 'Navarre Street,']",male,2,1,3
Forest Hills ,"[1, 1, 1]","['Forest Hills Avenue,', 'Forest Hills Square,', 'Forest Hills Street,']",male,3,1,3
North ,"[1, 3, 3, 3]","['North Avenue,', 'North Square,', 'North Street,', 'North Street,']",male,3,2,3
Parker ,"[0, 1, 3, 1, 1]","['Parker Street,', 'Parker Street,', 'Parker Street,', 'Parker Street,', 'Parker Street,']",male,3,3,3
Regent ,"[1, 1, 1]","['Regent Place,', 'Regent Square,', 'Regent Street,']",male,3,1,3
Baker ,"[2, 0, 0, 0]","['Baker Avenue,', 'Baker Place,', 'Baker Street,', 'Baker Street,']",male,4,2,3
Hancock ,"[3, 3, 3, 2]","['Hancock Square,', 'Hancock Street,', 'Hancock Street,', 'Hancock Street,']",male,4,2,3
Monument ,"[3, 1, 3, 3]","['Monument Avenue,', 'Monument Square,', 'Monument Square,', 'Monument Street,']",male,4,2,3
Arlington ,"[3, 3, 3, 0, 4]","['Arlington Avenue,', 'Arlington Square,', 'Arlington Street,', 'Arlington Street,', 'Arlington Street,']",male,5,3,3
Grove ,"[3, 0, 3, 3, 0]","['Grove Place,', 'Grove Road,', 'Grove Square,', 'Grove Street,', 'Grove Street,']",male,5,2,3
Winthrop ,"[3, 3, 0, 3, 1]","['Winthrop Square,', 'Winthrop Street,', 'Winthrop Street,', 'Winthrop Street,', 'Winthrop Street,']",male,5,3,3
Lincoln ,"[4, 3, 2, 4, 0, 4, 3]","['Lincoln Place,', 'Lincoln Place,', 'Lincoln Street,', 'Lincoln Street,', 'Lincoln Street,', 'Lincoln Street,', 'Lincoln Street,']",male,6,4,3
Oak ,"[0, 0, 4, 3, 0, 3]","['Oak Place,', 'Oak Road,', 'Oak Square,', 'Oak Street,', 'Oak Street,', 'Oak Street,']",male,6,3,3
Park ,"[1, 2, 3, 0, 0, 3, 3, 2]","['Park Place,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,']",male,6,4,3
Putnam ,"[1, 1, 3, 1, 3]","['Putnam Avenue,', 'Putnam Place,', 'Putnam Square,', 'Putnam Street,', 'Putnam Street,']",male,6,2,3
Franklin ,"[3, 0, 4, 3, 2, 3, 4, 0]","['Franklin Avenue,', 'Franklin Place,', 'Franklin Square,', 'Franklin Street,', 'Franklin Street,', 'Franklin Street,', 'Franklin Street,', 'Franklin Street,']",male,8,4,3
Everett ,"[2, 3, 0, 4, 4, 4, 2, 3, 0, 1]","['Everett Avenue,', 'Everett Place,', 'Everett Square,', 'Everett Square,', 'Everett Street,', 'Everett Street,', 'Everett Street,', 'Everett Street,', 'Everett Street,', 'Everett Street,']",male,10,5,3
Ashmont ,"[2, 2]","['Ashmont Street,', 'Ashmont Street,']",male,1,1,2
Bateman ,"[0, 0]","['Bateman Street,', 'Bateman Street,']",male,1,1,2
Blue Hill ,"[2, 1, 1, 0]","['Blue Hill Avenue,', 'Blue Hill Avenue,', 'Blue Hill Avenue,', 'Blue Hill Avenue,']",male,1,3,2
Broad ,"[3, 3]","['Broad Street,', 'Broad Street,']",male,1,1,2
Broadway,"[3, 3]","['Broadway', 'Broadway']",male,1,1,2
Crawford ,"[1, 1]","['Crawford Street,', 'Crawford Street,']",male,1,1,2
Dalton ,"[1, 1]","['Dalton Street,', 'Dalton Street,']",male,1,1,2
Hallet ,"[2, 2]","['Hallet Street,', 'Hallet Street,']",male,1,1,2
Harold ,"[1, 1]","['Harold Street,', 'Harold Street,']",male,1,1,2
Harrishof ,"[1, 1]","['Harrishof Street,', 'Harrishof Street,']",male,1,1,2
Holton ,"[4, 4]","['Holton Street,', 'Holton Street,']",male,1,1,2
Metropolitan ,"[0, 0]","['Metropolitan Avenue,', 'Metropolitan Avenue,']",male,1,1,2
Milk ,"[3, 3]","['Milk Street,', 'Milk Street,']",male,1,1,2
Minot ,"[2, 2]","['Minot Street,', 'Minot Street,']",male,1,1,2
North Beacon ,"[4, 4]","['North Beacon Street,', 'North Beacon Street,']",male,1,1,2
Northampton ,"[1, 1]","['Northampton Street,', 'Northampton Street,']",male,1,1,2
Oliver ,"[3, 3]","['Oliver Street,', 'Oliver Street,']",male,1,1,2
Veterans of Foreign Wars Parkway,"[0, 0]","['Veterans of Foreign Wars Parkway,', 'Veterans of Foreign Wars Parkway,']",male,1,1,2
West Cedar ,"[3, 3]","['West Cedar Street,', 'West Cedar Street,']",male,1,1,2
West Roxbury Parkway,"[0, 0]","['West Roxbury Parkway,', 'West Roxbury Parkway,']",male,1,1,2
Western ,"[4, 4]","['Western Avenue,', 'Western Avenue,']",male,1,1,2
Westville ,"[2, 2]","['Westville Street,', 'Westville Street,']",male,1,1,2
William T. Morrissey ,"[2, 2]","['William T. Morrissey Boulevard,', 'William T. Morrissey Boulevard,']",male,1,1,2
Akron ,"[1, 1]","['Akron Place,', 'Akron Street,']",male,2,1,2
Algonquin ,"[2, 2]","['Algonquin Square,', 'Algonquin Street,']",male,2,1,2
Anderson ,"[3, 3]","['Anderson Place,', 'Anderson Street,']",male,2,1,2
Barnard ,"[3, 3]","['Barnard Place,', 'Barnard Place,']",male,2,1,2
Beacon ,"[3, 0, 1, 1, 3]","['Beacon Street,', 'Beacon Street,', 'Beacon Street,', 'Beacon Street,', 'Beacon Street,']",male,2,3,2
Beechwood ,"[1, 1]","['Beechwood Street,', 'Beechwood Street,']",male,2,1,2
Belden ,"[2, 2]","['Belden Square,', 'Belden Street,']",male,2,1,2
Belmont ,"[3, 3]","['Belmont Place,', 'Belmont Street,']",male,2,1,2
Bennet ,"[3, 3]","['Bennet Place,', 'Bennet Street,']",male,2,1,2
Bickford ,"[1, 1]","['Bickford Avenue,', 'Bickford Street,']",male,2,1,2
Birch ,"[0, 0]","['Birch Road,', 'Birch Street,']",male,2,1,2
Bolton ,"[3, 3]","['Bolton Place,', 'Bolton Street,']",male,2,1,2
Byron ,"[3, 3]","['Byron Street,', 'Byron Street,']",male,2,1,2
Charlame ,"[1, 1]","['Charlame Place,', 'Charlame Street,']",male,2,1,2
Charles River ,"[3, 3]","['Charles River Avenue,', 'Charles River Square,']",male,2,1,2
Clarendon ,"[3, 3]","['Clarendon Square,', 'Clarendon Street,']",male,2,1,2
Clayton ,"[2, 2]","['Clayton Place,', 'Clayton Street,']",male,2,1,2
Clinton ,"[3, 3]","['Clinton Place,', 'Clinton Street,']",male,2,1,2
Codman ,"[2, 2]","['Codman Square,', 'Codman Street,']",male,2,1,2
Copeland ,"[1, 1]","['Copeland Place,', 'Copeland Street,']",male,2,1,2
Court ,"[3, 3]","['Court Square,', 'Court Street,']",male,2,1,2
Cumston ,"[1, 1]","['Cumston Place,', 'Cumston Street,']",male,2,1,2
Dartmouth ,"[3, 3]","['Dartmouth Place,', 'Dartmouth Street,']",male,2,1,2
Dearborn ,"[1, 1]","['Dearborn Square,', 'Dearborn Street,']",male,2,1,2
Decatur ,"[3, 3]","['Decatur Street,', 'Decatur Street,']",male,2,1,2
Dexter ,"[3, 3]","['Dexter Street,', 'Dexter Street,']",male,2,1,2
Downer ,"[2, 2]","['Downer Avenue,', 'Downer Square,']",male,2,1,2
Duncan ,"[2, 2]","['Duncan Place,', 'Duncan Street,']",male,2,1,2
Eastburn ,"[4, 4]","['Eastburn Place,', 'Eastburn Street,']",male,2,1,2
Egleston ,"[1, 1]","['Egleston Square,', 'Egleston Street,']",male,2,1,2
Emerson ,"[3, 3]","['Emerson Place,', 'Emerson Street,']",male,2,1,2
Essex ,"[3, 3]","['Essex Street,', 'Essex Street,']",male,2,1,2
Fairfield ,"[3, 3]","['Fairfield Place,', 'Fairfield Street,']",male,2,1,2
Fairview ,"[0, 0]","['Fairview Avenue,', 'Fairview Street,']",male,2,1,2
Fleet ,"[0, 3, 3]","['Fleet Street,', 'Fleet Street,', 'Fleet Street,']",male,2,2,2
Gaston ,"[1, 1]","['Gaston Square,', 'Gaston Street,']",male,2,1,2
Greenmount ,"[2, 2]","['Greenmount Place,', 'Greenmount Street,']",male,2,1,2
Hawley ,"[3, 3]","['Hawley Place,', 'Hawley Street,']",male,2,1,2
Hilburn ,"[0, 0]","['Hilburn Place,', 'Hilburn Street,']",male,2,1,2
Humboldt ,"[1, 1, 3]","['Humboldt Avenue,', 'Humboldt Avenue,', 'Humboldt Place,']",male,2,2,2
Jefferson ,"[3, 3]","['Jefferson Avenue,', 'Jefferson Street,']",male,2,1,2
Kenmore ,"[1, 1]","['Kenmore Square,', 'Kenmore Street,']",male,2,1,2
Kilby ,"[3, 3]","['Kilby Place,', 'Kilby Street,']",male,2,1,2
Lamartine ,"[1, 1]","['Lamartine Place,', 'Lamartine Street,']",male,2,1,2
Lambert ,"[1, 1]","['Lambert Avenue,', 'Lambert Street,']",male,2,1,2
Lester ,"[1, 1]","['Lester Place,', 'Lester Street,']",male,2,1,2
Leverett ,"[3, 3]","['Leverett Avenue,', 'Leverett Street,']",male,2,1,2
Mattapan ,"[0, 0]","['Mattapan Square,', 'Mattapan Street,']",male,2,1,2
Maverick ,"[3, 3]","['Maverick Square,', 'Maverick Street,']",male,2,1,2
Medford ,"[3, 3]","['Medford Street,', 'Medford Street,']",male,2,1,2
Meehan ,"[1, 1]","['Meehan Place,', 'Meehan Street,']",male,2,1,2
Montgomery ,"[3, 3]","['Montgomery Square,', 'Montgomery Street,']",male,2,1,2
Monument Court,"[3, 3]","['Monument Court,', 'Monument Court,']",male,2,1,2
Newhall ,"[2, 2]","['Newhall Place,', 'Newhall Street,']",male,2,1,2
Newland ,"[1, 1]","['Newland Place,', 'Newland Street,']",male,2,1,2
North Bennet ,"[3, 3]","['North Bennet Place,', 'North Bennet Street,']",male,2,1,2
Norton ,"[2, 0, 2]","['Norton Street,', 'Norton Street,', 'Norton Street,']",male,2,2,2
Oxford ,"[3, 3]","['Oxford Place,', 'Oxford Street,']",male,2,1,2
Princeton ,"[3, 3]","['Princeton Place,', 'Princeton Street,']",male,2,1,2
Quincefield ,"[2, 2]","['Quincefield Place,', 'Quincefield Street,']",male,2,1,2
Quincy ,"[1, 2, 1]","['Quincy Place,', 'Quincy Street,', 'Quincy Street,']",male,2,2,2
Rand ,"[2, 2]","['Rand Place,', 'Rand Street,']",male,2,1,2
River ,"[0, 0, 3]","['River Street,', 'River Street,', 'River Street,']",male,2,2,2
Rockview ,"[1, 1]","['Rockview Place,', 'Rockview Street,']",male,2,1,2
Ruskin ,"[0, 0]","['Ruskin Road,', 'Ruskin Street,']",male,2,1,2
Rutland ,"[1, 1]","['Rutland Square,', 'Rutland Street,']",male,2,1,2
Sanford ,"[0, 0]","['Sanford Street,', 'Sanford Street,']",male,2,1,2
Scott ,"[3, 3]","['Scott Alley,', 'Scott Place,']",male,2,1,2
Seymour ,"[0, 0]","['Seymour Road,', 'Seymour Street,']",male,2,1,2
Shawmut ,"[1, 1, 3]","['Shawmut Avenue,', 'Shawmut Avenue,', 'Shawmut Street,']",male,2,2,2
Shepard ,"[4, 4]","['Shepard Place,', 'Shepard Street,']",male,2,1,2
Sprague ,"[0, 0]","['Sprague Place,', 'Sprague Street,']",male,2,1,2
Stillman ,"[3, 3]","['Stillman Place,', 'Stillman Street,']",male,2,1,2
Stimson ,"[0, 0]","['Stimson Road,', 'Stimson Street,']",male,2,1,2
Talbot ,"[2, 2]","['Talbot Avenue,', 'Talbot Place,']",male,2,1,2
Terrace ,"[1, 1]","['Terrace Place,', 'Terrace Street,']",male,2,1,2
Thornton ,"[1, 1]","['Thornton Place,', 'Thornton Street,']",male,2,1,2
Townsend ,"[1, 1, 0]","['Townsend Street,', 'Townsend Street,', 'Townsend Street,']",male,2,2,2
Trenton ,"[3, 3]","['Trenton Street,', 'Trenton Street,']",male,2,1,2
Tufts ,"[3, 3]","['Tufts Street,', 'Tufts Street,']",male,2,1,2
Walter ,"[0, 0]","['Walter Street,', 'Walter Street,']",male,2,1,2
Warrenton ,"[3, 3]","['Warrenton Place,', 'Warrenton Street,']",male,2,1,2
Weld ,"[1, 0, 0]","['Weld Avenue,', 'Weld Street,', 'Weld Street,']",male,2,2,2
Wendell ,"[3, 3]","['Wendell Place,', 'Wendell Street,']",male,2,1,2
Wesley ,"[3, 3]","['Wesley Place,', 'Wesley Street,']",male,2,1,2
West Boundary ,"[0, 0]","['West Boundary Road,', 'West Boundary Road,']",male,2,1,2
West Milton ,"[0, 0]","['West Milton Place,', 'West Milton Street,']",male,2,1,2
Westford ,"[4, 4]","['Westford Place,', 'Westford Street,']",male,2,1,2
Wilbert ,"[2, 2]","['Wilbert Road,', 'Wilbert Road,']",male,2,1,2
Winship ,"[4, 4]","['Winship Place,', 'Winship Street,']",male,2,1,2
Wood ,"[0, 0, 3]","['Wood Avenue,', 'Wood Avenue,', 'Wood Street,']",male,2,2,2
Worcester ,"[1, 1]","['Worcester Square,', 'Worcester Street,']",male,2,1,2
Wyman ,"[1, 1]","['Wyman Place,', 'Wyman Street,']",male,2,1,2
Allen ,"[4, 0, 0]","['Allen Road,', 'Allen Street,', 'Allen Street,']",male,3,2,2
Atherton ,"[0, 1, 1]","['Atherton Avenue,', 'Atherton Place,', 'Atherton Street,']",male,3,2,2
Beaver ,"[3, 3, 0]","['Beaver Place,', 'Beaver Street,', 'Beaver Street,']",male,3,2,2
Brighton ,"[4, 4, 3]","['Brighton Avenue,', 'Brighton Square,', 'Brighton Street,']",male,3,2,2
Butler ,"[3, 2, 3]","['Butler Square,', 'Butler Street,', 'Butler Street,']",male,3,2,2
Dudley ,"[1, 1, 2]","['Dudley Place,', 'Dudley Street,', 'Dudley Street,']",male,3,2,2
Emmet ,"[3, 3, 0]","['Emmet Place,', 'Emmet Street,', 'Emmet Street,']",male,3,2,2
Forest ,"[3, 1, 1]","['Forest Place,', 'Forest Place,', 'Forest Street,']",male,3,2,2
Fulton ,"[3, 3, 0]","['Fulton Place,', 'Fulton Street,', 'Fulton Street,']",male,3,2,2
Greenwood ,"[0, 0, 1]","['Greenwood Avenue,', 'Greenwood Square,', 'Greenwood Street,']",male,3,2,2
Hamilton ,"[3, 2, 0, 2]","['Hamilton Place,', 'Hamilton Street,', 'Hamilton Street,', 'Hamilton Street,']",male,3,3,2
Harrison ,"[1, 3, 1, 3, 0]","['Harrison Avenue,', 'Harrison Avenue,', 'Harrison Avenue,', 'Harrison Place,', 'Harrison Street,']",male,3,3,2
Highland ,"[1, 1, 0]","['Highland Avenue,', 'Highland Street,', 'Highland Street,']",male,3,2,2
Huntington ,"[1, 0, 3, 1, 4]","['Huntington Avenue,', 'Huntington Avenue,', 'Huntington Avenue,', 'Huntington Avenue,', 'Huntington Road,']",male,3,4,2
King ,"[2, 1, 2]","['King Square,', 'King Street,', 'King Street,']",male,3,2,2
Lawrence ,"[4, 3, 3]","['Lawrence Place,', 'Lawrence Street,', 'Lawrence Street,']",male,3,2,2
Lewis ,"[1, 3, 3]","['Lewis Place,', 'Lewis Street,', 'Lewis Street,']",male,3,2,2
Linwood ,"[1, 0, 1]","['Linwood Square,', 'Linwood Street,', 'Linwood Street,']",male,3,2,2
Loring ,"[0, 3, 0]","['Loring Place,', 'Loring Street,', 'Loring Street,']",male,3,2,2
Marshall ,"[3, 0, 3]","['Marshall Place,', 'Marshall Street,', 'Marshall Street,']",male,3,2,2
Oakland ,"[4, 4, 1]","['Oakland Place,', 'Oakland Street,', 'Oakland Street,']",male,3,2,2
Otis ,"[3, 0, 3]","['Otis Place,', 'Otis Place,', 'Otis Street,']",male,3,2,2
Parkman ,"[2, 3, 2]","['Parkman Place,', 'Parkman Street,', 'Parkman Street,']",male,3,2,2
Phillips ,"[2, 3, 3]","['Phillips Place,', 'Phillips Square,', 'Phillips Street,']",male,3,2,2
Pierce ,"[2, 2, 0]","['Pierce Avenue,', 'Pierce Square,', 'Pierce Street,']",male,3,2,2
Prospect ,"[0, 0, 3]","['Prospect Avenue,', 'Prospect Street,', 'Prospect Street,']",male,3,2,2
Richmond ,"[3, 2, 3]","['Richmond Place,', 'Richmond Street,', 'Richmond Street,']",male,3,2,2
Rockland ,"[1, 0, 1]","['Rockland Avenue,', 'Rockland Street,', 'Rockland Street,']",male,3,2,2
St. James ,"[3, 1, 1]","['St. James Avenue,', 'St. James Place,', 'St. James Street,']",male,3,2,2
Tileston ,"[3, 0, 3]","['Tileston Place,', 'Tileston Street,', 'Tileston Street,']",male,3,2,2
West ,"[0, 3, 3]","['West Street,', 'West Street,', 'West Street,']",male,3,2,2
Westminster ,"[1, 0, 1]","['Westminster Avenue,', 'Westminster Street,', 'Westminster Street,']",male,3,2,2
Williams ,"[0, 1, 1]","['Williams Avenue,', 'Williams Street,', 'Williams Street,']",male,3,2,2
Wolcott ,"[0, 0, 1]","['Wolcott Square,', 'Wolcott Street,', 'Wolcott Street,']",male,3,2,2
Woodward ,"[1, 3, 3]","['Woodward Avenue,', 'Woodward Place,', 'Woodward Street,']",male,3,2,2
Allston ,"[4, 2, 3, 4]","['Allston Square,', 'Allston Street,', 'Allston Street,', 'Allston Street,']",male,4,3,2
Austin ,"[3, 0, 3, 2]","['Austin Avenue,', 'Austin Street,', 'Austin Street,', 'Austin Street,']",male,4,3,2
Baldwin ,"[3, 4, 0, 3]","['Baldwin Place,', 'Baldwin Place,', 'Baldwin Street,', 'Baldwin Street,']",male,4,3,2
Bartlett ,"[0, 3, 1, 3]","['Bartlett Avenue,', 'Bartlett Place,', 'Bartlett Street,', 'Bartlett Street,']",male,4,3,2
Central ,"[0, 0, 3, 3]","['Central Avenue,', 'Central Avenue,', 'Central Square,', 'Central Street,']",male,4,2,2
Concord ,"[3, 1, 1, 3]","['Concord Avenue,', 'Concord Place,', 'Concord Square,', 'Concord Street,']",male,4,2,2
Coolidge ,"[3, 3, 2, 4]","['Coolidge Avenue,', 'Coolidge Place,', 'Coolidge Road,', 'Coolidge Road,']",male,4,3,2
Cottage ,"[0, 0, 3, 3]","['Cottage Place,', 'Cottage Road,', 'Cottage Street,', 'Cottage Street,']",male,4,2,2
Cross ,"[0, 3, 0, 3]","['Cross Road,', 'Cross Street,', 'Cross Street,', 'Cross Street,']",male,4,2,2
Eliot ,"[1, 3, 3, 1]","['Eliot Place,', 'Eliot Place,', 'Eliot Street,', 'Eliot Street,']",male,4,2,2
Folsom ,"[1, 2, 0, 0]","['Folsom Avenue,', 'Folsom Street,', 'Folsom Street,', 'Folsom Street,']",male,4,3,2
Gordon ,"[0, 2, 1, 4, 4]","['Gordon Avenue,', 'Gordon Place,', 'Gordon Street,', 'Gordon Street,', 'Gordon Street,']",male,4,4,2
Grant ,"[0, 2, 1, 2]","['Grant Place,', 'Grant Place,', 'Grant Road,', 'Grant Street,']",male,4,3,2
High ,"[0, 3, 2, 3]","['High Road,', 'High Street,', 'High Street,', 'High Street,']",male,4,3,2
Howard ,"[2, 2, 3, 1]","['Howard Avenue,', 'Howard Place,', 'Howard Place,', 'Howard Street,']",male,4,3,2
Morton ,"[3, 1, 2, 3, 0, 1, 0]","['Morton Place,', 'Morton Place,', 'Morton Street,', 'Morton Street,', 'Morton Street,', 'Morton Street,', 'Morton Street,']",male,4,4,2
Orchard ,"[1, 0, 1]","['Orchard Avenue,', 'Orchard Street,', 'Orchard Street,']",male,4,2,2
Pleasant ,"[0, 2, 0, 3]","['Pleasant Avenue,', 'Pleasant Street,', 'Pleasant Street,', 'Pleasant Street,']",male,4,3,2
Pond ,"[0, 0, 1, 2]","['Pond Road,', 'Pond Street,', 'Pond Street,', 'Pond Street,']",male,4,3,2
Seaver ,"[3, 1, 1, 3]","['Seaver Place,', 'Seaver Square,', 'Seaver Street,', 'Seaver Street,']",male,4,2,2
Short ,"[0, 1, 3, 3]","['Short Road,', 'Short Street,', 'Short Street,', 'Short Street,']",male,4,3,2
Adams ,"[3, 3, 2, 1, 0, 2]","['Adams Place,', 'Adams Street,', 'Adams Street,', 'Adams Street,', 'Adams Street,', 'Adams Street,']",male,5,4,2
Charles ,"[2, 0, 2, 3]","['Charles Road,', 'Charles Street,', 'Charles Street,', 'Charles Street,']",male,5,3,2
Church ,"[3, 0, 3, 0, 2]","['Church Avenue,', 'Church Street,', 'Church Street,', 'Church Street,', 'Church Street,']",male,5,3,2
Linden ,"[0, 0, 2, 4, 3]","['Linden Avenue,', 'Linden Road,', 'Linden Street,', 'Linden Street,', 'Linden Street,']",male,5,4,2
Milton ,"[2, 0, 3, 0, 2]","['Milton Avenue,', 'Milton Avenue,', 'Milton Place,', 'Milton Street,', 'Milton Street,']",male,5,3,2
Prescott ,"[4, 3, 0, 1, 3]","['Prescott Place,', 'Prescott Street,', 'Prescott Street,', 'Prescott Street,', 'Prescott Street,']",male,5,4,2
Sherman ,"[3, 0, 3, 1]","['Sherman Square,', 'Sherman Street,', 'Sherman Street,', 'Sherman Street,']",male,5,3,2
Sumner ,"[0, 3, 2, 3, 2]","['Sumner Avenue,', 'Sumner Place,', 'Sumner Square,', 'Sumner Street,', 'Sumner Street,']",male,5,3,2
Union ,"[1, 4, 4, 3, 3]","['Union Avenue,', 'Union Square,', 'Union Street,', 'Union Street,', 'Union Street,']",male,5,3,2
Gardner ,"[0, 3, 0, 1, 3, 4]","['Gardner Place,', 'Gardner Place,', 'Gardner Street,', 'Gardner Street,', 'Gardner Street,', 'Gardner Street,']",male,6,4,2
Jackson ,"[3, 3, 4, 4, 0]","['Jackson Avenue,', 'Jackson Place,', 'Jackson Square,', 'Jackson Square,', 'Jackson Street,']",male,6,3,2
 Louis Pasteur,[1],['Avenue Louis Pasteur'],male,1,1,1
 Terrace,[4],"['Boulevard Terrace,']",male,1,1,1
Abbot ,[2],"['Abbot Street,']",male,1,1,1
Academy ,[1],"['Academy Road,']",male,1,1,1
Ackley ,[1],"['Ackley Place,']",male,1,1,1
Acton ,[0],"['Acton Street,']",male,1,1,1
Adams Terrace,[2],"['Adams Terrace,']",male,1,1,1
Adamson ,[4],"['Adamson Street,']",male,1,1,1
Adanac Terrace,[2],"['Adanac Terrace,']",male,1,1,1
Admiral George Dewey ,[3],"['Admiral George Dewey Square,']",male,1,1,1
Adrian ,[2],"['Adrian Street,']",male,1,1,1
Agassiz ,[1],"['Agassiz Road,']",male,1,1,1
Agawam ,[2],"['Agawam Street,']",male,1,1,1
Ainsworth ,[0],"['Ainsworth Street,']",male,1,1,1
Ainsworth  Footway,[0],"['Ainsworth Street Footway,']",male,1,1,1
Al Zwiercan Way,[3],['Al Zwiercan Way'],male,1,1,1
Alaric ,[0],"['Alaric Street,']",male,1,1,1
Alaric Terrace,[0],"['Alaric Terrace,']",male,1,1,1
Alban ,[2],"['Alban Street,']",male,1,1,1
Albano ,[0],"['Albano Street,']",male,1,1,1
Albemarle Court,[0],"['Albemarle Court,']",male,1,1,1
Albert ,[2],"['Albert Place,']",male,1,1,1
Albert  Rox.,[1],"['Albert Street, Rox.,']",male,1,1,1
Alcorn ,[4],"['Alcorn Street,']",male,1,1,1
Alcott ,[4],"['Alcott Street,']",male,1,1,1
Alder ,[0],"['Alder Street,']",male,1,1,1
Aldie ,[4],"['Aldie Street,']",male,1,1,1
Aldo Terrace,[0],"['Aldo Terrace,']",male,1,1,1
Aldrich ,[0],"['Aldrich Street,']",male,1,1,1
Aldwin ,[0],"['Aldwin Road,']",male,1,1,1
Aldworth ,[1],"['Aldworth Street,']",male,1,1,1
Alexander ,[2],"['Alexander Street,']",male,1,1,1
Alford ,[3],"['Alford Street,']",male,1,1,1
Alfred ,[1],"['Alfred Street,']",male,1,1,1
Alger ,[3],"['Alger Street,']",male,1,1,1
Allandale ,[1],"['Allandale Street,']",male,1,1,1
Alleghany ,[1],"['Alleghany Street,']",male,1,1,1
Allen's ,[3],"[""Allen's Alley,""]",male,1,1,1
Allenwood ,[0],"['Allenwood Street,']",male,1,1,1
Allstate ,[2],"['Allstate Road,']",male,1,1,1
Almont ,[0],"['Almont Street,']",male,1,1,1
Almy ,[4],"['Almy Street,']",male,1,1,1
Alpheus ,[0],"['Alpheus Road,']",male,1,1,1
Altacrest ,[0],"['Altacrest Road,']",male,1,1,1
Alvah Kittredge Park,[1],['Alvah Kittredge Park'],male,1,1,1
Alvan Terrace,[2],"['Alvan Terrace,']",male,1,1,1
Alvarado ,[0],"['Alvarado Avenue,']",male,1,1,1
Alveston ,[1],"['Alveston Street,']",male,1,1,1
Alveston Terrace,[1],"['Alveston Terrace,']",male,1,1,1
Alward ,[0],"['Alward Road,']",male,1,1,1
Alwin ,[0],"['Alwin Street,']",male,1,1,1
Amboy ,[4],"['Amboy Street,']",male,1,1,1
Ambrose ,[1],"['Ambrose Street,']",male,1,1,1
American Legion ,"[0, 2]","['American Legion Highway,', 'American Legion Highway,']",male,1,2,1
Ames ,[2],"['Ames Street,']",male,1,1,1
Anchor ,[3],"['Anchor Street,']",male,1,1,1
Anchor Way,[3],['Anchor Way'],male,1,1,1
Anderer Lane,[0],"['Anderer Lane,']",male,1,1,1
Andover ,[0],"['Andover Road,']",male,1,1,1
Andrew ,[3],"['Andrew Square,']",male,1,1,1
Andrew P. McArdle Bridge,[3],"['Andrew P. McArdle Bridge,']",male,1,1,1
